	text	category
1093	 Ichayan kasari. Kiduki. Porich. Njgal tcr karude swagraya ahagaram	Positive
1094	 9.6k dislikes from Antony perumbavor ( undaya.......)	unknown_state
1095	 Traileril Oru kidilan surprise undakum ennu visvasikkunnavar like adii..	unknown_state
1096	 Like nokaan varunnadh njan mathramaano..	unknown_state
1097	 King is oll ways king 🤙  ഏട്ടൻ ഇഷ്ട്ടം	Positive
1098	 Amitha pratheesha vekunila anyway katta waiting #L	Mixed_feelings
1099	 Nenjinakath Lalettan Nenjuvirich kond parayum numma oru lalettan fan anenn _______________katta waiting	Positive
1100	 sathyam paranjaal trailer oru maja illaa	Mixed_feelings
1101	 Padam average filim mathrameyullu fansukar pokkiparayunna rasamonnum padathinnillaa	Mixed_feelings
1102	 Vannu vannu avan vannuIkka love yuu	Positive
1103	 Evdeyokkeyooo Oru pulimurugan...dadi Girija.. Fight.. Music...... Evdeyokkeyooo 🤔🤔🤔	Mixed_feelings
1104	 Happy birthday mammukka  gana gandharvan polichadukkum next block bluster	Positive
1105	 Nte ponnnoooo enthaaa makkkale immmale ikkkkade aaa oru idh🥰🥰🥰	Positive
1106	 entry istam like for lusifer lalettan	Positive
1107	 Katta ikka fans indangi like adichu pottiku	unknown_state
1108	 Oru rakshayumilla.repeated mode on... Njan kandathil vech ettavum best trailer	Positive
1109	 68 vayassunden oke paranj ingane pattikkale en parayanam sire....	unknown_state
1110	 Bilal john kurishingalinte aniyan aano ini	unknown_state
1111	 arokee ningaldee comentsnu etraa like kittenu nokkan vannu	unknown_state
1112	 Katta pretheekshaaa....... Luv u alla ...	Positive
1113	 Poram lokham ariyatte HBO Channelil parashiraja kanaichath pole .peranpu pole ikkayilude malayala cinimaye ariyatte .	unknown_state
1114	 Eeee cinema thanna venuchettan muthaaan muthumaniyaanu	Positive
1115	 Ente ponno......maranamass item. Kidilan making. Fight apaaram. Sound modulation oru rakshayumilla. Oru adaru item thanne	Positive
1116	 Ini vendathu oru 100kodiyanu... athu ithiloode kittatte	Positive
1117	 0.50 athu nammude Marimayam Unni alle?	unknown_state
1118	 Padam vere level aaavum.... Mammulaaaal fanz	Positive
1119	 Teaser pole oombiyilla.... Trailer kidukki....   Lalettan Fan	Mixed_feelings
1120	 Kozhopolla	Mixed_feelings
1121	 6.3 dislike veru verupp athanne karanam	Negative
1122	 Ndaapooo ndayee.....inendaa vishuaa....ara ewde padakam pottichee....  uff romanjam_ahangaaram#ikka	unknown_state
1123	 Mamangathine  Ajaygopal  fansinde vijayasamsakal.	Positive
1124	 Ende ponnoe ejathy trailer kandall ariyam ikka ethu rengill ulla allannennu	Positive
1125	 Njan mathramanoo. Ith veedum veedum kanunnath	unknown_state
1126	 Orroo...framintayum quality     Rajuattan magic	Positive
1127	 Mammootty pwolikkum	Positive
1128	 Mammookka..... Uff ijjathi .. Ente ponnikkkaa polichuuu.... Katta waiting	Positive
1129	 Lalettante Adutha  100 Kodi ithayirikkumodiyan  enthaaa sheriyalle	unknown_state
1130	 Malayalam padam odikkenda takkesil achayn keri telugu padam odichuuuu	unknown_state
1131	 Haters pani thodangind makkale.....sahikunnilla avrkithe kanditte..	Negative
1132	 Ee pani thannaya kure kalamayii cheyunne.pani ariyavunthathu kondaa pidichu nilkunnaaa...mass and class dialogue..luv u ekkaaa	unknown_state
1133	 madhura raja trailer kandu.athinte hangover maran lucifer trailer repeat adichu kandu.ippozha samadhanamaye!	unknown_state
1134	 Raja raja raja...madhura veera raja	unknown_state
1135	 Aettanta padathin ikka fansnte ashamsakal 🤗🤗🤗	Positive
1136	 Yedaa Mamooty poora	Negative
1137	 avasanethe chadiyulla adi adh polich ikkaaaaaa	Positive
1138	 RAJA RAJA RAJA MADHURA Veera RAJA	unknown_state
1139	 Madhuraraja teasor kandu nalla katta bore ayittu undu. Mammukka ethavana yum Vishnu Unnikrishnan tae boxoffice records vettikkum ennu thonunilla.	Negative
1140	 Ente Ponno Goosebumps  ... kidu bgm	Positive
1141	 fans ticket kittiyavar ivide like adii	unknown_state
1142	 Trending No . 1. Varanam jayettan daaaaaaaaaaa	Positive
1143	 Pratheeksha nallonam und	Mixed_feelings
1144	 Unlike adicha mammunni fansinu irikkatte oru kuthirapavan	Negative
1145	 Jeyetta padam full undo trailer il?? Sambavam colour aayittundalloo...	Positive
1146	 Mamakam Hit Aavum ennulever adi makkale like	unknown_state
1147	 Family entertainer? Family kk kanan pattatha movie full inner meaning	Negative
1148	 Sambavam deep freezeril pettu poyi athann	unknown_state
1149	 Vere Level One  Ikka - Rajuvettan	Positive
1150	 Entae jeevathil ithrayum pravishyam trailer kanda verae oru cinemayum illa	Positive
1151	 Kidu frames kidu bgm ellarum kidu look kidu making pinne kidilolkidilan Lalettanum verentha vende heavy	Positive
1152	 Ethra viewers ayi ennu nokkan varunar arokeya..	unknown_state
1153	 ith rajuvattante sambil lusipur adaar aitam varunnu MEAGA STAR MAMMUKKAYAN MAKKALE	unknown_state
1154	 Njaanum our Tovino enna actora ishtapedunna alu thannaya trailer mass ayitundu but achaayanta soundinu mass effect kurachu kuravaanu	Mixed_feelings
1155	 Madhurarajakku madhuram theereyundakilla bhayankara kaypayirikkum njan panthayam vekkam	Negative
1156	 Ikkaaaaa. Ingale ennaa level aah. Ee prayathilum body... Muthane	Positive
1157	 Raju ettan powli	Positive
1158	 Trailer cut ഒറ്റപേര് editor Donmax വേറെ ലെവൽ	Positive
1159	 Oh iyalude Ela padavum iyalu jailil kidana anubavavumayi copy Anu Nala pila anu enu kqnikan akum.	Negative
1160	 innanu movie kandathu.....kidu nnu paranjal pora......kidilokkidilam	Positive
1161	 Trailer ethanennu mumbu thanne kore peru dislike adichatind Ivanmaaroke aanu e naadinu shapam champu naarikalu	Negative
1162	 Idvere vere chilar parannadaaannn muruga nee theernnada ennn ..ini nangal mammookka fans sherikkum parayunnnu .....MURUGAAA ....NEE THEERNNADA .IKKA LOVE	Positive
1163	 Ith surajinte padamaane enne thoniyarvar like adikku	unknown_state
1164	 sathyam parayalow kaNubol ente police traing kalam ormavarunu	Positive
1165	 Dislike adichavarod nammal lalettan fans n verum  pucham matrame ullu  Lalettan ishtam Lalettan uyir	Positive
1166	 50.dhe pravshyem  kandu kolakkolli trailer	Positive
1167	 Katta ikka fans unddegil like adi..	unknown_state
1168	 Haha..1.35 il raajuvettane kandavar ivide like adichee	unknown_state
1169	 Iyaalkkokke cinema nirthi DQ nte makkale nokki veettil irunnoode..?	Negative
1170	 Enta ponna oru rashayum ila kidu padam	Positive
1171	 Suraj ettan powli..koode soubin ekka...pine paryano ....katta Waiting anee	Positive
1172	 Trailer kandappazhe urappichu padam mass vijayichu	Positive
1173	 im from mars but i love laletan	Positive
1174	 Ikkayude johny walker ormma varunnuu vere level	Positive
1175	 Ithupole oru trailer iniyundakumennu thonunnilla. Superb	Positive
1176	 IKKA PWOLI BGM oru rakshayum illa	Positive
1177	 Jayasurya chettan mass lookaaa pakka mass don	Positive
1178	 Mammookka de adutha 100 kodi padam aayirikkum #UNDA ennu urapp ullavar like adikkada pillere...	Positive
1179	 6.1k mamunni fans ithe kandu ennu aa dislike button kandapol manasilayi	Negative
1180	 dayav cheyth pretham 3 irakkaruth plzzz athrank unda padamaayirnn pretham 2	Negative
1181	 Su sugunan su gu sugu su gu suu bug una	unknown_state
1182	 Avasanam sathya moorthy ips avathorunna mati🤣🤣	unknown_state
1183	 Villain Tovino & vivek oberoi ...( just a guess )	unknown_state
1184	 Ikka fan aaya Nikku nalla urappundu	Positive
1185	 Ikka powlichu onnum parayanilla trailer ethanel padam enthakum	Positive
1186	 To be very frank	Negative
1187	 Tovino look. & BGM vere level	Positive
1188	 bgm korachoode nannaakkayirunnu..fan made bgm poley.....	Mixed_feelings
1189	 Pinneum pinneum ithu kaanuna ethra peer und	unknown_state
1190	 Laletttaaan fans adichu potikda like button	unknown_state
1191	 Mass mass pakka masss	Positive
1192	 Njaan aadym vichaariche punyalan 3 aanenaa	unknown_state
1193	 Mamangam...nte ammooo marana massss...trailer....   verum item allaaa.... ith oru onnonnara item anuu....ikkaaaaaaa	Positive
1194	 16k views.. But 56k like.... എപ്പിടി 🤔	unknown_state
1195	 Ikka bakthanmaar like adi   Ikka istham	unknown_state
1196	 Teaser ille kittiya mass triller ille kittilla	Mixed_feelings
1197	 Madhurarajaykku LUCIFER inte half like polum kittillannu urappullavarkku like adikkan after # madhuraraja trailer	unknown_state
1198	 Dislike adikan mtram Kure per nokiyiriunna polund	Negative
1199	 1 1/2kaalan police randu kaalukalumayyi veedum	unknown_state
1200	 Oru pandi padathinte trailer innu irangiyitundu...kandavar onnu parayane..avide ellaam thribilaa🤣🤣🤣	Negative
1201	 Njan oru ikka fan alla paksha as a malayali i am katta weiting for raja 2	Positive
1202	 Dislike adichavar ettavum valiya oolakal...... bldy idiots...	Negative
1203	 Karayippikuvo muthe... Happy bday ikka.... Waitg	Positive
1204	 Eth vetavalliyanmara dislike adiche..	Negative
1205	 Kanunnathinu munpe dislukke like adichaa ellaa malavangalkkum ente naduviral namaskaram	Negative
1206	 Ithu enthanu kilichundan mambazhamb 2 parto..hihi comedy padamanennu thonunnu	Negative
1207	 Ravile eneet trailer kanan vannavar ndo....	unknown_state
1208	 Lalletan fansinte ella supportum und ikka.....  Ethu porikum.... Oru samsayavum venda...	Positive
1209	 ith oru oola padam aayirikum enn manass parayunu	Negative
1210	 Kalkikku malayalathinte dhathuputhran alluarjun fansite vijayaashamsakal	unknown_state
1211	 Ravanan aya avane nerkuner illaathakkan oru maha avatharam thanne vendi varum....poli	Positive
1212	 Fans kaar.... Pls padathinu hype koottaruthu... Ithu oru sadharana cinema yanu... Dayavu cheythu nashippikkaruthu....	unknown_state
1213	 Trailer kidu aie annulavarkke Likam (onnu likada)	unknown_state
1214	 Happy birthday Ikka love u  Pratheeshkal athiru kadanu Ganagandarvan keralakara keezhadakum	Positive
1215	 Oru pooram Trilar Vijariichu Vannappooo oRu Mass Trilar aayiii thoonniyavarr Like Aahdii.....	Positive
1216	 Trailer kollarkium nu oru pratheeksha ondarinnu...pakshe ithu athukkum mele	Positive
1217	 Prithviraj Undennu Arinju Trailer Kandavar Like Adiku  1:01 Zayed Masood	unknown_state
1218	 Eathu nayinte makkal avao dislike adiche	Negative
1219	 Polichu ikka suppar u r great	Positive
1220	 Ith ini indian cinema yude mamangam	Positive
1221	 Madhura Raajaye pottikkum ennavar like adi	unknown_state
1222	 Dislike um kurayunnu..23k ninnu 13k aayi...appo ee chettatharam kanichathu aaru ennu parayendelloo	Negative
1223	 Mammookka  unni mukundan  achuthan	unknown_state
1224	 Ipo tanne 5 vattam kandu vallatoru trailer	Positive
1225	 Super  bb.  Lalettaaaa	Positive
1226	 Lucifer lucifer lucifer a10 a10 a10	unknown_state
1227	 Padam kandu.. ennittum veendum tralier kaanan thonunnu.....	unknown_state
1228	 Njanetha parayendath......... Onnum parayaanilaaaaaaa..... Laaaaalettttttttttaaaaaaaaaa.......ummmmmm aaaaaa	Positive
1229	 Pworich kurach kalangalaayi ijjathi padem Tamil mathram aannu kandirunnath .eni malayalathilum kannaan ulla bhagyem Ind .Poli Poli poli	Positive
1230	 Next pullikaran stara or uncle loading 🤭	Mixed_feelings
1231	 Trailer  kalaki Pwolichu  madhura raja cenimakku vendi katta waiting	Positive
1232	 Super trailer cinema kandale  bakkie parayan kaziykka llu	Positive
1233	 100 k avunnath mumbe kandavar like	unknown_state
1234	 Ithu pole bgm ulla mass trailer ithu vare iragiyittila .	Positive
1235	 Music chila sthalangalil alambayi ....dialogue perfection kittunnilla	Negative
1236	 Ekka @ Madhura Raja	unknown_state
1237	 Dislike full odiyan kanji fans	Negative
1238	 Odiyante sheenam njnga lalettante piller ee luciferil ang theerkum....	Positive
1239	 Class trailer	Negative
1240	 Lalettan illatha eanth sinima le makkale kodk like	Positive
1241	 Rajuvetta ningal maranmass love you oru great success avate....	Positive
1242	 Lucifer movie kanditt  ethil comment edaan vannavar like adi.....  Mass lucifer lalettan mass	Positive
1243	 Kidukkachi  laletta ningal mass alla kolamassanu	Positive
1244	 Age  68    mammmukka da	unknown_state
1245	 Kaaneda പിള്ളേരെ..  100K Views & 34K Likes in 5 Minutes  60K likes in 15 Minutes	unknown_state
1246	 Soubin achanod vazhakakakunu...achanu sahayathinu robotine soubin set akunu...robotinte koode jeevikuna achan parishkari akunu...achanum makanum onnikunu...subham	unknown_state
1247	 Ethu puthu charitharam.	Positive
1248	 Onnu vegam dec 14 ayya mathiyayirinnu	Positive
1249	 Kidukachi trailer... Bgm oru rekshayum ella.....	Positive
1250	 Sathyam paranjaal trailer kandit vella majjeyonnullalla	Positive
1251	 nee okke ara trousar itt ajandhayil aadhipapam kanumbo njn vitta scean aa idh...yeah mammukaah	unknown_state
1252	 Hacking likes um Views um koottan nokiyitt moonjipoya mammootti fans evdede.. Oru Maryadhayoke Vendedey	Negative
1253	 Ithu Kolakolli item Lalettan fans kathirunna padam Ith thakarkkum Lalettan fansnu aakosham mmakk pwopichadkkam	Positive
1254	 Ithu Vera levelakum urappa..... Ela ikka fansinum all best....	Positive
1255	 Ufffffff ichayaaa pwolich ur die hard fan 4 ever	Positive
1256	 Adipoly🤩🤩lalettan fan thanne aaganamennilla sharaashari oru cinema premi aayaaal mathi ith kandit romaanjification undaagan🤩🤩🤩🤩🤩kidue !!!	Positive
1257	 Nalla padam ayirikatte odian pole akathirunnaal madi all the best	Positive
1258	 Kalam ethra poyallum charithra purushanmare prathinithikarikkan angh kazhiyunnundallo mammooka	Positive
1259	 Fans show unndavummo?	unknown_state
1260	 Laalinu pakaram vere oru nadan akamayirunnu lal ithepole orupadu   cheyithittundu	Negative
1261	 Oooohhhh oru rakshayum illaaaa... Pwolii poppwoliiii  Ingalaan thaaram	Positive
1262	 Kilichundan maambazhathile slang . Oru matullalaa	Mixed_feelings
1263	 Ende ponno 68 vayasaya oraluda body thanneyano ith.... 🤩.. NAMICHU PONNIKKAAAA	Positive
1264	 Immanuvel pokan pokunna item kikidu hbd mammokka	Positive
1265	 Katta Dileep Ettan Fans um Ee Movie vijayikyum ennu ullavar Adi like	unknown_state
1266	 Nanayitunduuu...... trailer kurachu koodi nanakam ayirunu	Positive
1267	 padam 2 thavana already kandavar aarelum undoo	unknown_state
1268	 Helen enna perinte vethyastatha kond vannavarundo????	unknown_state
1269	 Surajettante voice oru podik koodi aged avannu	Negative
1270	 Rashtriyam	Negative
1271	 Ividippo Malayalikal kuravanallo  #Lalettan #Prithviraj #Lucifer	unknown_state
1272	 120k lyk pakshe 22k views ullu Ntho saangethika thakarar und🤔	unknown_state
1273	 3:15 am ksa time nu kanunnund bro	unknown_state
1274	 Minimum 3 Thavana kanathathayi arum kanilla....	Positive
1275	 Idh 2 million cross aghanam enn agrahikunnavar adi like	unknown_state
1276	 Mass nnu paranjaa ikkayaanu.. MASTER of MASSES.. Adaar trailer.. Mammookkaaa	Positive
1277	 chankurappulla ikka fans vaa 21 nu charithram kurikkum	unknown_state
1278	 njn kandathl Etavum mikacha trailer yennu thanne prym #ikka <3 .. #Ennum ikka	Positive
1279	 Kanji fans dis like adichu thakarkkunnudu	Negative
1280	 Ethile fight scene kaanaan akrahikkunnavar like	unknown_state
1281	 Hpy bdya ma lovely ikka	Positive
1282	 Ikka fans kuthhy marinjalum luciferinete oru recordum thakarkilla	Mixed_feelings
1283	 Nte ponnikkaaa inghal enthinilla porappadilaaa nte ammooo poli	Positive
1284	 padam kanditt ivida vannavar aarokke ??	unknown_state
1285	 Ente ammo kidilam trailer  L___ && MR	Positive
1286	 Katta waiting....  maranamass  trailer......	Positive
1287	 All the best for movie mamankam...katta lalettan fan...	Positive
1288	 1:45 enta ponooo ..ota peru Mammootty...	Positive
1289	 Ejjath oru rakshayum llaaaa katta waiting	Positive
1290	 Ennik mathram aano 200 cr clubil ee movie keerum enn thoniyath ?	unknown_state
1291	 kanjikoduthu avasanam.. kill that bastard..our lady superstar	unknown_state
1292	 vyshak sir trailer search cheythitt kittunilla innala kittiyirinu	unknown_state
1293	 Ith verum mass alla marana mass	Positive
1294	 Lucciferine pizhutheriyan  ravananaaya aa avatharam varunnu	unknown_state
1295	 Ente mone al powli ikka ishtam	Positive
1296	 Appol  lalettante padathinte Record ellam  thakarthu  eriyan pokunnu alle ayikotte malayala  Cinema uratte	Positive
1297	 Rajuettan and ikka fans  like adi	unknown_state
1298	 Trailer kandathode padathinu oru theerumaanayi chali padam	Negative
1299	 tamil-telungu-malayalam orrumichu  release  cheydhal  valiya orru  sambvam aggum	Positive
1300	 Ente ponnnnoooooo.... Vere level	Positive
1301	 Njan laalettan fana pakshe i love this movie	Positive
1302	 Tovino machane fight scene poratto... eniyum valaraan undu	Negative
1303	 Oru prethikshayillarnu madhuraja but parayathirikan vayya visuals vere lvl	Positive
1304	 Trailerin otta kurappama ullu njankluda ikkayuda face kandela	Mixed_feelings
1305	 Varunnathu manthriyo bhadano alla rajavanu rajavu	unknown_state
1306	 Chechiuede mukham kandu like  cheythavar aroke ikka	Positive
1307	 Powli trailer  Ikka oru rakshayum illa kidu	Positive
1308	 Jo jeetha wohi sikhandar oke pole undu	Mixed_feelings
1309	 Kidilan trailer .. ikka ushaarrr  ithu super hit aakumennu urappichavar ivide chumma likeetu pokko..	Positive
1310	 Katta waiting for mahuraja entry Like adikku makkalaee	unknown_state
1311	 Lalettan Masss Lalettan ki jaiii	Positive
1312	 YouTube nde kaat poyirikkugayaan.. 1 manikkoor aayi ithuvare YouTube nde hang maariyittilla..🤣🤣	unknown_state
1313	 Lucifer ini kandam vayi odedi varum	Negative
1314	 laletta polliku full support annu	Positive
1315	 Ella Lalettan chunkum oru like adikoo ivide.....pinne ee chanelum onnu subscribe cheyoo	unknown_state
1316	 .35 oru pulimurukan touch vannu .enthayaalum sambavam kidkeetund	Positive
1317	 Mamooka we love u so much..	Positive
1318	 E jathi trailer pahaya nee sulaimanalla hanumana... hanuman	unknown_state
1319	 Karalil thakil adichu	unknown_state
1320	 Kalki super hit akum enn Bonny parayan paranju	Positive
1321	 She look like my angel.. ചിന്നൂട്ടി..	unknown_state
1322	 Last sukumaran chettante photo kandavarkk like adikkanulla sthalam	unknown_state
1323	 Oru kgf trailer polee.. Lalettan pakkaa massss	Positive
1324	 Romanjification....!!!! Lalettan Masssssssss...!!!! Manju chechi Vere Level !!!	Positive
1325	 0:27 trailer ലെ mass dialog	Positive
1326	 Ithoru malayala cinema k oru vazhithirivu aakatte fanisam marannu support cheyyu	Positive
1327	 Ufffff.  Pwoli lalattaa... Katta waiting	Positive
1328	 Enne pole 50praavisham kandavurundagill adi like	unknown_state
1329	 Tripple strong nnn paranjapam daridryam akumn vjarich....idh takarthuto....waiting...ee prayatilum thalarata aavesham....ingal vallatoru manusyan thanne	Positive
1330	 Prithviraj undennu aringuu trailer kanan vannavar atraper	unknown_state
1331	 polimass item.. heavy mass... Lalettan	Positive
1332	 Nte ponno oru rakshayum illatta makinggg......polichu....MAMMOOKKAA	Positive
1333	 Nammude prithvi amgane veruthe onnum direct cheyillalloo... Lalettante kure nallukalyi irangunnathil aattavum nalla movie....	Positive
1334	 Raju eattanu nthu Patti... Baki ellavrum ndalo. Ennit egneya rajade story avuva	unknown_state
1335	 Prithviraj aanu new character ennu arinjathinu shesham trailer kaanaan vannavar undo? Enkkil like here	unknown_state
1336	 Thalli thalli kure ayallo oru padamenkilum vijayippichu kanikku kidannu thalli marikkathe	Negative
1337	 ethra thavana kandaalum veeryam koodunna kolakolli item	Positive
1338	 Any way  kidu sanam...      Waiting randamuzham	Positive
1339	 Face of indian cinima kolamass kolakolli waiting november 21 mamangam day	Positive
1340	 Dileepettan muthanu ningal lalettan fansanenkil nallathu paranjo kazhapamilla athinu dileepettan undakandataaa	Negative
1341	 Pwolichu    ...  lalettaaa	Positive
1342	 Teaser kand thalliparanjavarkku  Trailer oru marupadiyanu including me	Positive
1343	 Varan irikkunnath mass padam matram alla  Comedy entertainer kudiya	Positive
1344	 E sooraj comedy anel padam odum .. serious carecter anel. Padam poliyum	Mixed_feelings
1345	 endh kashtaman idh trailer alla teaser ann	unknown_state
1346	 Kidilam padam...direction ennoke paranja ithaanu mone	Positive
1347	 sunny akante song ennu Youtubeil varunno annu rajaku alukerunathu nikum	unknown_state
1348	 Raja Annum Ennum Raja Thanne	Positive
1349	 Vere level  Ikka  uff	Positive
1350	 verey level maranamaass neeralikk polumilla 1 m views	Positive
1351	 Enta jayetta ithu minnichekkane kazhinjya varshathe nammada pala planum polinjyu ithu athupole avaruthu.' avulla'	Positive
1352	 Trailer idunnathin munb thanne dislike adicha mahaan maark ente oru naduviral namaskaaram	Negative
1353	 Super acter nammude lalettan Super hero nammude lalettan	Positive
1354	 Eattante pscho Fan ....  Loooov u  soooo much....... Laletttaaaaa	Positive
1355	 Paranjere malayalathil oru stunt master vannitundenn	unknown_state
1356	 30 pravashyathin melil kanda alkar ivide like	unknown_state
1357	 Kochin haneefka valsalyam cinema eduthad pole onnil odukkanan prithvirajinte erpadengil Aradagar panhikkidum.	unknown_state
1358	 Ee role mammookkak aahnnu cherunathu anu arinja...lalettan fans right now kurupottikal....🤣🤣🤣🤣	Negative
1359	 Hmm ..trailer kandappo  oru kaaryam theerumaanamaayi	unknown_state
1360	 Dis like adichavar aaro avar... onnum parayunnilla	Mixed_feelings
1361	 Ente ponne oru rekshem illa  kidukkachiiiiiiiiii...  Lalettan Hvy....	Positive
1362	 Sidhik sir. Great performance. Kalakki.	Mixed_feelings
1363	 mammookka oru rakshayum Illa kiddu	Positive
1364	 Waste trailer	Negative
1365	 Lucifer fdfs pokunnu lalettante White n white lookil	Positive
1366	 മധുരരാജാ ടീസർ : 3hours/27minutes=111k view lucifer:28minutes=152k view	unknown_state
1367	 Singam model oru kidilan action movie aakatte.....	Positive
1368	 Chila bhagagal pulimurugan le pole thonniii......ikkayude ee movie yum successful aakatte ennu aashamsikkunnuuu.....	Mixed_feelings
1369	 Ithrayum nal nammal avarude Padam kandu inni avar nammu Padam kanatte #mammucka lovers	unknown_state
1370	 Pazzhassirajaye  kadathi vettum e maamangam.	Mixed_feelings
1371	 flop kaluda rajakumaran ee padam hit agum pisharadikku	Mixed_feelings
1372	 Tamil film Pizza de oru style	Positive
1373	 Cheriya pulli alla avan.. Padicha kallan aa.. Ufff A10..	unknown_state
1374	 Trailer atra pora . Movie nannayirikumenu pratheekshikunu	Mixed_feelings
1375	 Fairman oorma vannath enikk matramano	unknown_state
1376	 Pinnem Pinnem Kanuvaaa   Thalaivaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa	Positive
1377	 kandittum kandittum mathi aakunnilla	Positive
1378	 dislike adikkunna ella myrenmaarrum poyi oomb	Negative
1379	 172 k views youtube adichu poyo ??	unknown_state
1380	 Today is my birthday.. Enik oru 10 like tharavo..	unknown_state
1381	 Pwoli pwoli ee prayathilum enta amoooikkaaaa	Positive
1382	 ennalum ente mammookkaaaa.. ningayokke enna poliyaan.....ningaleyallathe mattareyum ividonnum sangalppikkan polum pattilla..	Positive
1383	 Malayala cinemayude khathi kadalinumappuram ethicha punyam ..megastar mammookka	Positive
1384	 Trailer kanan thudangumbol 25k like	Positive
1385	 Prithviraj as zayeed masood... Ith pwolikkum	Positive
1386	 Tovino yude vaayil entha puka aduppano	unknown_state
1387	 Kore naalk shesham ikkante padam kananam enn thonnath ee trailer kandapola...ith polikum...	Positive
1388	 Morning eneechepol thanne veendum kandavar arund7.22	Positive
1389	 Chunk alla chunk edippaaanu laalleettaaan	Positive
1390	 Trailer Adipoli .. Ore oru mistake..!! Ethilum kudithal SUBSCRIBERS ulla Chennel il Release cheyyanamayirunnu	unknown_state
1391	 0:54	unknown_state
1392	 Ethe enthu vaa dae ethe? athinu kai addikaan kore fans oolagalum.	Negative
1393	 Thandhayilaathavarum palathandhaku piranavanmaarum aayaa lalettan fanss fislike adikaann kore preyaasapedunundd 🤭🤭abarariyunilaa malayala cinemayude shaapam aann lalettan fans en	Negative
1394	 Ithu verum oru samble vedikkettu.iniyaanu podipaaranapooram.appo churikki paranjaal vishu RAAJAyum RAAJAyude pillerum angukondupokum alla KONDUPOYI	Positive
1395	 Trailer 15am pravashyam repeat adich kandita njn eii cmt box il vabnath Ikka pwolichuuu	Positive
1396	 Trailer okke kollam. But last ezhuthi kanucha goodwill entertainment aanu prblm	Mixed_feelings
1397	 AAA maha avathaaram piravi yedukkan poagunnu   Ini  uyertheyunelppinte.   dhinangalanu	Positive
1398	 1st	unknown_state
1399	 Watch #OreVidhi malayalam shortfilm	unknown_state
1400	 5 millionilekk kuthikkunna makankam trailerinu ellavidha bhavukangalum nerunnu	Positive
1401	 Mamooka Polichu  Oru Rakshyumilla Mass	Positive
1402	 Pwoli padam Vijay Sreenivasin vijayashamsagal nerunnu	Positive
1403	 Eniyoru veeragaadha rechikendiyirikunnu ethinu pakrem vekan kazhiyumo mattonninu nadakan ullathu charithram nadakkendathum charitham snehikunavarku aathambimanem	unknown_state
1404	 Innu thanne ithu etramathe vattama e trailer repeat adichu kanunnennu eniku thanne ariyilla...kidiloskki	Positive
1405	 Babynet  oppam Shane nigam venaayirunnu Enna ithinakaal adipoliyaayirikum Shanente fans adi like	unknown_state
1406	 Ningale katatthi vettan ningal matrame ollu laletta	Positive
1407	 Kattttta waiting adikkkkkam macha Oru like	Positive
1408	 Veruthe oru like enikkum thanne    Hbd ikka	unknown_state
1409	 Oru divasasam oru 10 pravashyamenkilum kanum	Positive
1410	 Inn Lucifer inte 27th poster kand nere ingott trailer kaaanan vannu 1:34🤗🤗🤗	Positive
1411	 Ettan fansinte vaka irikatte oru kuthirapavan ikka muthanu	Positive
1412	 Oru ghum illaa	Negative
1413	 കൊല കൊല്ലി Item....Laletta.. Big salute to Raju ettan.. Lucifer	Positive
1414	 ഫാൻസെല്ലാം കയറി വാാ.... abhrahaminte    Status video.....ellavarum kayari kaanu subscribe cheyyu like adikku	unknown_state
1415	 Ithil Rajuettane kandavar ethra perund??? Aaa mwothaline athra pettennu kaanan pattilla. Athinu chorayil alinja sneham venam. Enje pwoale. R Eattan da <3	unknown_state
1416	 Views & likes yetra aayenn nokkan kerunnavar undo ?	unknown_state
1417	 Laluni fanskar thudangi dislike adikkan avarkku ente vaka	Negative
1418	 Level item.. Padavum ithupole aya mathiyaynu	Positive
1419	 Applause from an ettan fan... Mammukka katta swag	Positive
1420	 Enta ikka polichu   Kidu item  Ethu polikkum	Positive
1421	 Ore oru rajavu lalettan  🥰 10 million views aakum	Positive
1422	 Nalle Bengali sidill ninee valichaa tiranuluu ninda Japan 🤣	unknown_state
1423	 Ithanu.. Makkale nammal kanan aagrahicha ettan	Positive
1424	 3. 5 k dislike nalla kuru pottal anallo chorichil maraan wyt cheyee december 14 vere ellavarudeyum chorichill maati theraaam	Negative
1425	 Kidukki.. MAMMOOKKA... KATTA WAITING... VYSHAKH SIR... HAT'S OFF U	Positive
1426	 Ithipol matte sambavam kazinja shesham dileeep nu police	unknown_state
1427	 Trailer 5 il kooduthal kandavar like	unknown_state
1428	 Ithil love reaction button indaarrnneeel njekkittt pottikkaaarrnnn	Positive
1429	 Ikka varilla enn orthath njn mathramo..?	unknown_state
1430	 Inganethe massinde koode aa mukhavum kanichal kidukkum	Positive
1431	 Trailer muzhumikum munbu comment vaayikkan oodi vannatha.. ente ponnoo....lalettan rajuvettan istham..	Positive
1432	 Manju varrier mathrame ulluvo actresss ayi kollilla	Negative
1433	 Trailer 1:45  Ikkayude aa run  Saamoothirikk nere aanu	unknown_state
1434	 Enthuaadeee uploaded cheyunnathinu mump 6k dislike 🤦🤦🤦🤦🤦 ivanmarkku okke entha presnam	Negative
1435	 Odiyan kand ishtappettit trailer nokkan vanna aarenghilum ivade inda ?	unknown_state
