	No.	Sentence	label1	label2
2754	3414	bhai we are waiting 5 bajne wala hai	1	1
2995	3884	Axxa laga aapse baat kar k	2	2
1641	2056	Love you love you salman bhai	2	2
2910	3765	kyoki ittana pyr tumko  krte he hum	2	2
3727	4728	Wah maja aa gaya.	2	2
2952	3822	aap ne roja rakha hai ??	2	2
3105	4021	salman aap shadi kyu nahi kar rahe	1	1
3821	4870	Sala kamina sallu bhai ramjan mahineme bajarangi ban gaya kotta sala kamina sallu.... suno musalman bhaiyo aur behano es bar bi sallubhai ko ullu bana denge	0	0
2765	3446	Sir uttrakhand se hai ! Yaha ke fans ko apka intezaar karna padta hai ! Plz come once to nanital !	1	1
3269	4188	Salman mera bacha tere naam se wo blue mark kider gyaaaaa	1	1
2135	2568	tym kbka ho gya...whr r u	1	1
197	277	india ka log ka vote ka valu delhi me samach ayyena.india me avo modiji,idhar bhahuth problams he solve karne ka	0	0
3725	4725	K mehu hero tera..... amzing song..	2	2
3224	4142	Mera yeh matlab nahi thaa naam to acha hai Salmanji yaar shaadi karlo abb tooo...:D	1	1
1922	2350	abe tm log jyada chapad chapd kroge to bhai jaan chale jyenge bola n sb chup chap bhaitho ekdm shanti shanti shanti aankh bnd kr k no type any commnt sirf bhai ka dhyan lgao	1	1
60	78	bahut ho gaya ghumna phirna. ab paani sar se upar jaa raha hai.	0	0
3543	4474	Salman bhai I loveyou	2	2
2432	2889	Bhai aao na fir	1	1
1408	1789	Bhaijaan aapka song humesha hit hi hota hai	2	2
2125	2558	bhaiyya pls baat kijiyega dil mat todiyega	1	1
187	259	Apka kya khna PM ji	1	1
1691	2110	Hamesha Bhai bola par tu Bhai bolne k layak nhi	0	0
2748	3404	bye bye bye	1	1
3537	4468	esaa kyu bolte ho aap	1	1
400	568	Sir kabi Jammu Kashmir k ITI k haalat toh dekho koi staff nahi koi metrial nahi aur aap skill development ki baat karte ho	0	0
2153	2586	Salman time pura hogya ajao na fb pe	1	1
1280	1630	Salman aaja ghar mere eid par	1	1
3353	4274	Sahi h fir agar aisi baat h to .....Jo log afwah uda rahe unhen ye sab nhi krna chahye......Islam jhut nhi sikhata h	0	0
2461	2918	Comment padh ke thak chuka hu aa ja re bhai	1	1
998	1277	iss bar eid ki party bhai ki tarf se...........	1	1
3315	4236	bhaya ye bhajrangi bhai Jan ko flop krnay k leye ye kaam kya ja raha hy	0	0
2729	3364	Plz bhai aa jao	1	1
3763	4773	salman bhai sooraj pancholi ka offical fan page ka link apne wall pe post kardey ...	1	1
1732	2155	Kya baat krni hai msg kr dena.. #Salmankhan	1	1
522	703	Mera ko bhi ek chance de do bajrangi bhaijaan	1	1
1999	2431	Bhai sabko reply kaise karoge	1	1
2136	2569	BHAI apka being humen trust kesa chal RHA he	1	1
940	1207	Enka koi eman dharm nahi hai	0	0
311	463	sar aap se jaruri baat kar na he sar mera no 9747375375	1	1
1814	2240	Saloo bhai plz pak ajao m india nhi aa sakhta :D	1	1
1727	2150	Bhai bhai bhai bhai.......love u bhai.....	2	2
1443	1831	Salman ji aapne iss bar koi song nahi gaya mujhe wait tha k iss bar b aap ke lovely voice main koi song gaye ......I love your voice ....hangover is my all time favourite song abe tak main vo song sunte ho I just love that song	2	2
647	837	Salman khan ke pe sari duniya marti h ehi 1	2	2
2888	3735	bhaiyya maine bahut intzar kiya lagta hai aap jayada busy hai koi bat nai kal jarur reply karna kal school ki chhuti b hai pls bhai	2	2
1734	2157	Omg aur 30 minuts..	1	1
198	281	akele modi kya ker sakte hai.........akela aadmi pahad nhi khod sakta	1	1
3017	3910	Last replyyyyy plzz plzzz plzzzz	2	2
907	1169	ramzaan aur eid bahut bahut Mubarak ho i love u	2	2
2588	3081	hum to aapka swagat krne ke liye kb se aaye hue hai pr aap hi nhi aa rehe	2	2
3307	4228	V nice commet salu bhai	2	2
1699	2119	film me apki pose mast hai bacho ke sath me exclusive pose bhai jaan	2	2
867	1112	Ap riyel salmankan hai to sun no ke pahele ye socho ke msalman hai ke nahi hai to akhirat ki fika kar	1	1
535	717	Bhar do jholi meri y Muhammad mujhko Salman sir. S milado, jb tak aap bana d n bigri dr s n jao khli	2	2
3384	4306	Yaar sallu bhai accche bande h to sala sab inke naam ko kharab karne me lage pade h	2	2
1159	1482	abe chutiye kabhi namaz bhi pad liya kar	0	0
241	349	Bahut sundar. Hardik subhkamnaye	2	2
1430	1812	Aapne aisa q kha salman ki aap bina muslmn ki apni pix hit kra doge	0	0
1309	1667	ramzan mubarak ho bhaijaan	1	1
2116	2549	Bhai n nend a Rahi hai bhut Tez ki	1	1
3279	4198	bhai voh owaisi ke chamche hi is fake news ko failarahe hai	0	0
3433	4355	Niki varma tum bhi bol lo	1	1
1385	1760	My bhai my hero salman bhaihum salman bhai ke bahut bare bhakt h mar jayenge lekin jhut nahi bolenge	1	1
730	926	Bhaijaan Allah ki ibadt aap bani h bani rhe bani rhegi bajrangi bhaijaan jrur hit hogi	2	2
2720	3352	Bhai accident dubara toh ni kr dya,jo ab tk ni aaye,aa b jao sir	1	1
826	1060	bhaijan kolkata ka har log ready.....up ekbar kolkatame aajao	1	1
842	1077	Yessss my cuteee salman	2	2
2579	3069	4 : 19 ho rhe kha ho bhai	2	2
2560	3041	Hlw Bhaijan.Bajrangi Bhaijan ko le kar apka kya opeksha hai?Is film me aap hanuman jika vokt ho ap kay real zindegi me hanuman jiko mante ho?	1	1
2084	2516	Bhai aa bhi jao ab time ho gya	1	1
2004	2436	sir 2 mints left	1	1
375	542	Modi jorj aage bado ham tumhare sath hai jai Bharat....	2	2
1607	2020	Sab record peche bajarangi bhai jan agee....	2	2
1896	2324	4 baje meri college mein class hai bhai jaaan :(	1	1
930	1195	Yhe special song 4 eid .....yhe party meri taraf se	2	2
756	958	tumhare dil me kuch na kuch khot to hai phone nahi karne ka region samajh me nahi aata aisa kis relationship me hota hai	2	2
224	316	Tusi bast pm ho modi ji Sade I'm panjabi	2	2
3759	4768	Aapki film k liye aapko dher sari shubhkamna	2	2
3181	4099	Jo tum bolte ho tum wo karte nahi ho	0	0
3388	4310	sallo mai ap se janna chahti ho kya ap n ye bola h hindu bhai mere liy q bola ap ko muslim bhi to dil s chahte h	0	0
1906	2334	Ek baat bta deta hu aap sabko.... Plz ijjat se baat krna SB log	1	1
766	970	Vidya gupta pagal ho gai h kay,.,,.,.	1	1
2778	3480	bhai mujhe apna whats app no. do na roj krenge.....	1	1
705	897	Yeh ki yeh namard hai	0	0
1771	2195	Ye kya bat hue sir abhi bat kro plz	1	1
3071	3980	app kaha hoo please aa jao na	2	2
2736	3383	#Sallu_bhai mere ko prsnly msg kr do ek baar... Bhai #kuchh_khas hai aap ke lye,  whatsapp 8083503086	1	1
580	766	Raat mai late soie thi uYe Abba haina raat late aaey	1	1
3134	4051	Nahi ainge salman sab so jao	0	0
1996	2428	bhai jaan kidhar ho aap	1	1
3557	4488	Mai ho fane aap ki bahut jiada her movi jis Mei aap ho kush ajiv khushi apnapan aap say lagta ha bha bat guan ba say dua karty ha Mai request behg do pls bat Karni ha	1	1
1200	1538	Tum musalman nahi hi	0	0
2798	3584	Hii..Salman Bhai mai abhi se kah raha hun ki apki Bajarangi Bhaijaan hit film hai... Ap kya Kahte hain????	2	2
2663	3221	i knw ni aoge sbko ullu bna diy ap aj acha khasa	0	0
2124	2557	Bhaijaan mamo ya na mano main apka sabe bara fan.. Apke lia sachme jaan vi hazir hai.	1	1
3067	3974	kal 4 pm wait karna,aj ka din nikal gya,bevkufo,girl to puri puri bevkuf hoti hai,	2	2
2578	3068	plzz m apke rep ka w8 krri hu or krti rhugiii pkkkaaa	1	1
228	321	Bharat mata ke ji	1	1
1282	1632	eid mubarak lakin es br eddi bhi chaiyea	1	1
3764	4774	sir, can't wait fr #Bajrangi_bhaijaan <3	2	2
1934	2362	send naaa plZzzz	1	1
2266	2708	kaha gaye sir	1	1
3198	4116	pehle ek baat batao doston salman ne twitter par ya fb par aane ko bola???	1	1
308	459	sar in pakistanio ka kuch kijiye...... kuch pakistani log daily aapka naam lekar india walo ko gaaliya dete h	1	1
2071	2503	4 pm ho gye bhai	1	1
3845	4912	rafu apko nhi bolna already wo dechyka hota h	0	0
442	619	ram ram bhai salman	2	2
3599	4545	Very very niece tailor	2	2
153	212	apne desh ki mahanta ko jitna bhi desh me charcha kiya jaya bhahut hi acha hai	2	2
538	721	jabtak public nahi sudrega tabtak kuch nahi ho sakta.	0	0
3801	4825	Bhii jaan luv u	2	2
1563	1973	3:44 ho gy duss hun kii aa ??	1	1
2742	3391	Hii bhai kahan ho aap ..	1	1
781	992	sare aade tede mere hi kimat me likha hai upar wale ne chun chun ke lga tha tum to sayad sahi hoge lekin nahi	0	0
3348	4269	Koi rahe ya na rahe mai apke sath hu salman bhai	1	1
2764	3445	Sub ko farig kro or mujh say baat krna plzzzzzzzz	1	1
1478	1877	isko dus saal ki hail honi chahiye	0	0
1181	1512	mere bhai jaan nhi ho ap mere to super star ho ap	2	2
2318	2761	#salu bhai ap bas bachio ko reply kartay ho :p	1	1
845	1083	iftar party mere taraf se aajao	1	1
2697	3304	shyad aap busy ho tbi aap rply nhi kr rehe ho nhi to aap jrur rply krte...bt m tb tk wait krungi jb tk aap rply nhi krte...	1	1
1099	1406	khuni saale chal jail ja	0	0
3612	4574	Wah wah suprb salman khan g gudluck???	2	2
3374	4295	Mashallah 2.3k comments and likes r 33,966 great 300 crores hai bhai ki film kai	1	1
9	13	India me student pe atyachaar karra hai result nahi dikhaijara hai aur yaha ye inke aankho me dhul jhokra hai	0	0
2513	2976	Aap reply karenge....?	1	1
2739	3386	pata nhe ap kb takh karata ha ya intizar	1	1
2698	3305	Salman vai aap sadhi krlo plzzz...	1	1
1352	1715	kyaaa yaaar ...umidd thi k aaj kuch had tak to sapna sch hoga leki pandey ji umid tod di naa..	0	0
2351	2796	sab bekar h..... koi nhi aane wala ..... salman nhi aayega	1	1
3652	4628	raat bhar jaaga raha..tujhse she kahna chaha..mujhe tera ab bhi tera injaar Hai..mujhe ab bhi thujhse pyaar haiâ€” feeling ekta	2	2
588	776	Bhai mujhe bhi kardo nominate plz	2	2
2744	3393	wait kar raha hu	1	1
672	863	sirji...pls visit to Kanpur oncem...plssss.	2	2
473	654	haha.... im selected... <3 mzaaa aa gya... umahhhhh bhai luvv uhh	2	2
2526	2994	Baat kidhr hogi	1	1
2973	3850	hi salman sir how are sir main apki bohot bohot bohot bari fan hu i love you salman sir ummmmmmmmmmmmmmmmmmmmmmmmh	1	1
38	49	KARTIKEY KUMAR modi hi des ko agÅ  bada sakate hai	2	2
1827	2253	aaja sham hone aayi	1	1
925	1189	Oo salman sale ku bohat ghamand ayi musalmaano ku bola ki musalman koy bi nahi dekhe tho bi chalegi meri film bolke bola	0	0
3838	4898	Kon se duniya hai hai muslim bhai. Jo kafir hai usko acha oor great bolray hai	0	0
221	311	Plz sir aap se baat kar ne hai	1	1
2046	2478	kaise ho bhaijan???? eagerly waiting for 17th	1	1
2339	2784	kaha ho vai...kuch batao...kaise ho.....	1	1
1533	1943	Bhai jaan hum apke liye ek thofa bej rahe h .....I love you. ....salman khan. .....	2	2
577	763	Kya karu samaj nhi aara bhot neend aari hai par namaaz is very important s	1	1
2407	2862	u r muslim soo app rozay rakh rhy hoooo	1	1
1230	1571	Muslim brothers sisters plz salman khan ko unlike karo aor lanat bhejo salman khan pr salman khan hindu higaya hai islo ezzat mat do bezaty karo Allah ki lanat hu is bodhy baba par	0	0
1112	1421	bhai jan kya baaaat haiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii.	2	2
1310	1668	masaallah bhaijaan ..supar dupar hit bajrangi bhaijaan	2	2
1348	1711	Hello salman baijaan main aap ka bhot bda fan hu Maine lagbag sari pictures dekhi hai	2	2
528	709	Kya ye abhiyan abhi bhi jaari h	1	1
1025	1310	Ashu yar bs kro. . .	1	1
381	548	bikaner kb tur h. halat kharab h bikaner k . surdhna gav jane wali sadak ka bhi kbi chal ke dekho us sadak pe..	0	0
3582	4523	Super super super salman bhai	2	2
3841	4903	Wow is awesome hii iam Salman khan fone uthao yar khan fone uthao yar very very very nice voice iam so happy i love you Salman.<3	2	2
3249	4168	bhai aap tou best he bajrangi bhaijaan ATBB hogi ;)	2	2
185	257	Modi ji bharat ki badhti abaadi ki fikar kijiye Jo bharat ko patan ke maarg per lejaa rahi h	0	0
2458	2915	Nhi arah bhai	1	1
1781	2206	kamal karte ho salman Ji	1	1
2279	2721	4 baj gaye.....par party aabhi Baaki he....sallu bhai	1	1
1514	1923	Namaste Bhai jaan . aap sirf bhai jaan hi nahi aap to hum sab ka jaan hey . aur mera Bhagwan hay sir . Jay Bajrang Bali ..........	2	2
2027	2459	4 bjne hi wali hai	1	1
1236	1580	Yasmeen Khan. Dimag THIKANE lga kr comnt kr	0	0
2235	2671	Juz in last 5 mints... 5000 comments and 10000 likes.. Itz juz awsum	1	1
1854	2281	Time math chage karo bhai	1	1
2265	2707	lagat hai salman serf aapka he time qeemty hai hamara nahi?	1	1
3544	4475	Bhaijaan maine liya hain amazon se	1	1
1401	1777	Hello salman jee, , Eid mubarak	1	1
2149	2582	kamal krte ho yar pandey ji 4 baj gye or aap abi tk nahi aaye	1	1
2583	3074	kamaaaL karte ho salllu ji.....rply to bnta h n....	1	1
3516	4441	Eid mubarak Mian Salman vai	1	1
3015	3908	Bhai aaap ki  Sab say aache  film kon si hai .	2	2
1247	1594	Pakistan main be apko log bht pasand krta hn bhai jan.....	2	2
627	817	Hamein kaash tumse muhabbat na hoti :(	2	2
3496	4420	mast movie hai Bhai	1	1
803	1027	meri bas ek dua hai ek bar mujhe milna hai apne bhaijan se	1	1
2314	2757	Sab kya hoga	1	1
875	1123	ek dum tayyar	2	2
1537	1947	Bahi ap se 1 sawal	1	1
864	1107	Big brother party de or ye chota bhai party me nhi aae aase ho skta hai kya kbhi #Salu bhai(bajrangi bhaijan)	1	1
2884	3729	bahut wt kiya aur nahi....bye...gussa hu app sa	1	1
2364	2811	bhai plz 1 br bat kr lo	1	1
2740	3387	Kha ho bhai ,  sb ke bhai	1	1
3534	4465	Ye Pakka hit h koi sala rok Ni sakta bhai ke film ko hit hone se	2	2
2481	2940	salman bhai abi dabanng 3 ke shuts ke liye satara mai hai, so next time fans	1	1
2792	3521	AB to type karte kate fingariya dard hone lagi	0	0
2905	3756	Aate aaz bhai	2	2
801	1025	salmaan khan tumhare naam k pichey khan accha nahi lagtahai hata de muslaman ke naam ko jo itna hi bura kagta hai islamic dharm to abhi chod de zarurat nahi hai tumhari islaam ko	0	0
2224	2660	4 baj gaye lekin bhai aana abhi baaki hai ;)	1	1
1264	1612	bhai Tu apni jaaan hai :*	1	1
2006	2438	Hiii sallu bhai i m ur biggggest fan..........kya aap bataege ki aapne acting konse acting skool me sikhi.....plsss bhai tell me	1	1
2068	2500	bhai ap boht ache hn Allah ap khush rkhe	2	2
2772	3472	dekh lena bhaiyya ki film super hit hogi	2	2
2946	3814	Kyaaa sach me ye salman khan ki id he.........!!!!!!shayad fake he ye	2	2
1708	2128	kya bhai aapka ye movie bahubali record tod paeyga	1	1
1829	2255	Koi kitana bhi virodh kare hum movie Dekhenge...because hame pata hai ki salman sir sab dharmo ko manate hai support karte hai aur koi galat kam nahi kar sakte...love u salman sir	2	2
322	476	I trust you so very nice improvement kabhi humne apne pm se nahi bola tha pehli baar hamari baat jaan pa rahi hai mujhe asahi pm hindustan ki zameen pe chahiye tha	2	2
1713	2134	bt apne 3:30 kaha tha :(	1	1
2941	3807	plz rply kro naAAA:<	2	2
2472	2931	Bhai Goli de rahe ho chotey bhai ko	1	1
903	1165	Osm party salman bhai apka gift	2	2
2954	3825	Ekdum Zakaaas hai sab..	2	2
674	865	Bahi ke zalak sab sa aalag..... Ma to superman salman ka fan....	2	2
1319	1677	Bhi bol to ek nambar bollywood ka raja	2	2
1615	2028	kavi baat karo	1	1
3217	4135	Baba ji aap to so jao q budhape me nind kharab kar rahe ho	1	1
2755	3419	ek fake salman n cmnt kiya mujhe laga ap ho bhai	0	0
2233	2669	Bhai kaha ho aap	1	1
1494	1902	Superb salman bhai	2	2
2182	2615	Bhai 4 baj gye h	1	1
1272	1621	Eid mobarak bhaijaan kyse ho serkhan kab aega bhai	2	2
363	528	Coro or kutto pr brosa mt kro	0	0
1947	2376	subki aan subki shaan hai apna bhaijaan	1	1
201	285	Aap great ho modi ji aapki wajah se hamara sir fakar se ucha ho gaya dunia me jay ho	2	2
746	945	salman bhai aslamolikum ...	1	1
2968	3843	still wait 4 bje kha ab time 6 hone wla	2	2
2361	2808	jumme ka din hai, chatting ki baat hai. allah bachaye mujhe, fake pages se.	1	1
6	10	Aatma aur mun ki pavitrata ki jhalak hai is beti ki aawaz mei, khush raho beti.	2	2
2231	2667	Bhai kitne baje	1	1
872	1117	aaj ki party bhai k taraf se	1	1
480	661	plz cal sallu bhai +8801719447771 bangladesh fan plz cal met u sallu bhai	1	1
3850	4923	Sallman ki photos uplod krke fb ko khrab mt kro	1	1
3410	4332	Bhai hum aap par poora trust karte hai aur humme pta hai kabhi galat nahi karoge	2	2
72	97	Modi ji aap apna kaam kijiye, kisi ki baat ko mat suniye agar 5 baccho me se do bigad jaayen to bhi paalna to padta hi hai	2	2
1258	1606	Kis time kal?	1	1
3768	4780	Laga liya ji	1	1
107	150	sir aap kya cheez ho? kamal!!!!	2	2
3047	3949	Hum fans ki koi kadar hi nahi h	2	2
86	118	Prnam ji kuch desh ke liye mai bhi krna chahta hu bas aapka thoda sath chahiye agar mil jaye to mera kaam aasan or khubshurat hmara desh hoga.	1	1
675	866	Insan jab tarki karleta hai to wo apne mazhab KO bul jata .hai jab thokar lagti hai use to use apni galti ka ahsas hone lagta hai .....koch aisy hai salman ki khani mery Kuban I.......	0	0
3250	4169	Salman bhai mujhe aap se jaruri bat karni hai	1	1
1021	1305	Iss bar BJP ka kutta Muslim pe dhabba aanne wala hai eid k din jaha b ye kutta aayega jute mar k bhagao sale k ghar me ghusu	0	0
727	923	Nazar na lage	2	2
2277	2719	Mein apke sath jacqueline ka b fan hun	1	1
2422	2877	Bhaijaan kamaal karte ho	1	1
1550	1960	Pta h log kitna pagal h apko milney ko	1	1
214	303	Tajikistan ne Gurudev Tagore,Mahatma Gandhi ki peetho ki sthapanaa karake Bharat k bhaavaatmak ekataa ko sudridh kiya h	2	2
1703	2123	yaha sab mental hai.. ok lage raho yaro	1	1
1297	1653	Aagar salman sai hai to ek martaba media me saaf saaf bolde ke mene esa nahi bola ....simpal...	1	1
961	1232	sandhya slman bat nai karega	1	1
932	1197	aliya zain ko kisi ne dekha h kya ??	1	1
3238	4156	kya yar aap shaadi karlo na yar abhi to aapka jawani bhi khatam horahe hai	1	1
1869	2296	sir plz mujhe app apna bodygurd banalo plz sir	1	1
3246	4165	Hlo sir kya aap kbhi mujhse baat krege mujhe aapse kuch share krna hai	1	1
1005	1285	eid mubarak bhaijaan in advance	1	1
3188	4106	bhai jaan reply to do chootiya ho ki nhi	0	0
1228	1569	sallu bhai..........ed ki party akele ....hi hmko bhul gye	1	1
1489	1896	sir massage kahan se karna hai sir massage kahan se karna hai sir massage kahan se karna hai	1	1
391	559	"BHARAT ""MODI"" ke Saath"	2	2
3866	4951	Jai jai bajrangi bali tod de dushman ki nali. seen fisrt day fisrt show amazing movie	2	2
209	295	modi ji hame app per garv h lakin desh ka vikas tab hoga jab sabi bhartiyo ki soch Appke jaisi hogi	2	2
2835	3645	Aisay ha bhaiya bajrangi......	1	1
3080	3991	teri to saqal bhi dekhne ko dil nahi karta	0	0
1648	2063	Super duper hit 22 ji	2	2
695	887	Bahot accha hai	2	2
2209	2644	4 baj gaye bhai	1	1
2229	2665	veer ji aa gai mai karooooo start yo yo yo jai salmannnnnn :)	1	1
813	1041	Hi salman i'm sameer baloch in balochistan i'm biggggg fan of you	2	2
3682	4665	Eid Mubarak bhai jaan I miss u i miss u	2	2
1886	2313	Bht bht taklifda kam ha	1	1
173	240	Koi fayda hai inko ye sab dikhane se????	0	0
2767	3448	Bhai woh kya matter hai Jo ye log bol rahe sb	1	1
3350	4271	Love youui bhaiiiii	2	2
2718	3349	Jawab kyun nahi aaya	1	1
2355	2802	hm baarish ho rahi hain to netwark problem to hogi hi	1	1
286	422	please sir apke rhte vito power dila dena ......................	2	2
3073	3982	md.intjar.malik. bajrangi.bhijane. .i love.you. (786). bhijane.apki.film. no: 1 hogi. bhijane.mujko call.karo. 8868026194.	2	2
410	581	Bhai jo apno se dur ho toh unka toh yahi ek zariya hai touch me rehne ka	2	2
3262	4181	I lv #saLmAN <3<3	2	2
2081	2513	Aap apni selfie le k prfl pic pe set karo kyuki salman khan name k kafi I'd h	1	1
3482	4406	I don't know bt I want to ask.. K log bol rahe hai k salman ne bola hai k mujhe apni film hit krne k liye musalman log ki zarurt nhi... Agr aapne aisa bola hai to movie eid me q release kr rahe hai eid baad karo	1	1
2619	3132	Sir kya aap fir kashmir aavoge plz reply	1	1
1608	2021	Bhai comedy. Laavo na...aap comedy with kapil me jitna hase ho ..utna haste hue pehle nahi dekha	2	2
3589	4532	Allah ap ko sada khush rakh. aameen.	2	2
1344	1707	Oho tumare ankha tumare nak tumare lips kasm sa mar hi daloga?	2	2
2184	2617	Biryan acchi milti yha in bhopl	1	1
333	490	ohhhh bsss krrrr Modi tenu ghuman toh sivva horr koi kmmm h k	0	0
2592	3090	Bhai ...4 <= baj gaye h ?Kaha ho aap	1	1
1362	1726	Masha allah bahot ache lgre ho buri nazar se bachaye allah aapko.	2	2
1846	2273	Agar aap mere comments ka reply krenge to me isi se samjh jauga ke mere comments ke reply me Aapne pure Pakistan ko apna pyar salam or dua dedi	1	1
3644	4617	film ka story mast he aur aap bhi mast ho............	2	2
1283	1634	Huuurrrrrrrr salman khan teri aisi ki tesi aur teri movie ki bhi	0	0
780	991	tum kis mitti se bane ho koi tumhare sath 3.5 se bat kar rha hai 3.5 sal se ek hi chij se ek hi bat kah rahi hai tumhe koi phark nahi padta	0	0
1257	1605	Ek nai kahani dekhne ko behad utsuk hai.love you sallu bhai.bhaijaan.	2	2
3065	3972	woow  aap 1988 se fb per ho me to 2011 me fb per aai :)	2	2
1659	2075	bhai mey aap ke saath hoon.....app ko shadi nahi karni mat kijiye.....jai jawan	2	2
2	4	Arae sur jee pahelae hamare bharat ke bachho ka parao.... Firr vedesh may jao yaar	1	1
3689	4676	bhai vo bache ladki aapke sath kareena se jada cute lag rahahe.	2	2
789	1006	mar jaye woh log jo mujse jalte hai mere bharmini hone se jalte hai unka wenaash ho jaye	0	0
145	202	Modi ser desh me kharab ho rha anaaaj ???? ???? iske bare me kya soch rhe hy aap	1	1
1681	2100	Bajrangbali ka saath Bajrangi ke pas ?rkho viswas ?puri hogi aap ki har aas???????!	1	1
787	1002	Koun bolhata hai Saadi nahi hogi ..meri aur Salman ki saadi hogi 2016 ..October ..first week :) :)	2	2
2512	2975	Mujse baat karne m tumko sharam aati h sab k saamne	1	1
2305	2748	Nhi aayege woh busy promotion krne mein .sunday ko kapil ke show mein jao. Face to face	1	1
3152	4070	lo aa gya mai...salman ka fan...swagat nhi kroge hamara?	1	1
1536	1946	Itna mat tarsaoo jaldi ayu	1	1
3360	4281	kya tum ko pata hai ke tumhara kya religion hai neither muslim nor hindu	1	1
3426	4348	salman bhai jaan friend request plz	1	1
2002	2434	Baat khtm krni hai ya khani suru soch lo :v	1	1
1161	1485	Goodluck for bajarangi bhaijaan	2	2
3228	4146	bhai apku sath Katrina ko film mere bohut ppochondo	1	1
3166	4084	cheat kiya sallu ne	0	0
3407	4329	sallu bhai rockz	2	2
1759	2183	Salman khan sir 3.30 tha na	1	1
3655	4631	bad karna chahti hun mud thik nahi hai sab so rahe hai mammy aur chhoti bhan college jane ke liye jaldi uthti hai aur rat me bhi 12 1 baj jata hai sote isliye dophar me so jati hai papa bhi so rahe hai	1	1
396	564	Ground par karo ye jyada Bakwaas karna band karo.....abhi tak logo ki life par koi fark nahi huwa. .......koi bhi plan ya policy ka ground par jakar feedback liya karo.....policy launch karne se ya paise dene se janta ka bhala nahi hota. ....kyuki middle me khane waale bahut hai.....	0	0
1259	1607	1 no bhau	2	2
880	1131	is kutte ki filam dekhne koi bhi schha muslim nhi jayega	0	0
2296	2739	Hlw aapko nhi ana to bewkuf to mat bano	1	1
839	1074	kuchh reply to dijiye salmaan bhai.. abhi fauran......	1	1
3033	3932	Radhika Medan- sirf salman ko chod kr baki sab call krnge tmhe.. ;) :)	2	2
1292	1648	ab chalo yar sone...aaj #juma h bhailog ....namaz padhni h	1	1
2949	3817	am d biggest fan of uaz... n d WORLD........... <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3	2	2
3688	4675	kya ye picture bhai ki hit hogi but i dout	1	1
3803	4827	Tere awaaz kutta ke awaaz Sam hi chor muslman hi to	0	0
166	231	Modi ji sorry bidesoon main mat ghoomo apne naitaoo saansdon ko pakdo belagaam hote ja tahe hain gareeboun ki socho 1 2 Rs ki policiyon se kuch nahi hoga moti aasamiyoun se paisa nikalo gareboun se nahi	0	0
757	959	Gud morning bhaijaan	2	2
2662	3220	Salman bhai apne apne page pe apna trailer ni dla youtube wala	0	0
3412	4334	Salmam sir hmesha apko to hi follow krtee h hmm. Apko dekh kr hi sikha h ki dusro ki heLP krna kya hota h. Dil ko khusi milti hh ab jana hmneeee	2	2
407	578	Aap jaisa PM har desh ko milna chahiye,jo apne desh ke future ke liye itni kadi mehnat karke aisi scheme launch kar rhe hai.AAPKO PRAMAAM HAI MERA PM JI.	2	2
3363	4284	theater me ja k salman ka movie kabhi nahi dekhunga Internet pe 10 din k baad aayega download kar k dekhung!!! free me	0	0
3611	4571	Sir i love u. MAIN aapka bhot bada faan hun,sir. Aap jo T-shart pehnte ho mujhe dedo Sir. Main HARYANA se hun Sir ji.my No. Sir 9991865726	2	2
1598	2008	Bhaijan hum appka wait kar rahe hai pls ao	1	1
54	68	Sab ka malik ek.	1	1
2989	3874	Jo salman se pyar karte h wo islaam se pyar nhi karte	2	2
1009	1291	ramzaan or eid mubbark ho salman bhai 8863960135 mai aap ka wait	2	2
1410	1791	lovly &nice song ..salman.	2	2
1715	2136	Kkia hha wifi ni hai	1	1
2098	2530	india me to 4 baj gye agar aap London betha h to pta nhi	1	1
271	397	Kyo pade ho chakar me koi nahi hai takar me. Modi is best pm .	2	2
3094	4008	Koch to bolu bhai	1	1
3529	4458	Wai sale Ismail kutte jyada bhaukana sehat k liye nuksaandayak hai . Amma k pallu me so jaa ab ## boxdk	0	0
753	955	Bhikari eid Ka jkate sedka fitra lene aa rha he	0	0
2256	2696	bhai bolo to sahi	1	1
1562	1972	assalamualaikum sallu bhai jumma mubarak ho sallu bhai twitter par mai hi ho aapko masages karti ho	2	2
3386	4308	Salman bhai .......no tansion hm tumhare sath h ...koi frk nhi pdta hme ...koi bhe kuch bole aapke killaf	1	1
1972	2402	AJee sunte ho.......ab aaaaa bhi jaooooooooooooooo :)	1	1
3766	4776	Bhot sahi bhai... Bhai bhai.... :)	2	2
3750	4757	Sab ka bhai salmaan bhai love you salmaan	2	2
896	1153	Sala kutta tera movi kon dekhe ga harami	0	0
414	585	Uncle! Uncle! har chiz mein religion..religion..kaiko? :-) Quran ho..ya bible.. aap ache hona pata chalta hai..bas... ushme bhi..ye sab ghuser diya kaiko? :-D	2	2
370	535	Vikas ke liye govt ko kathor niym banana chahiye	1	1
2802	3595	where r uu...bhaiii ...plzz one rplyy mustt onlyy onee:-(	1	1
1019	1303	Sir me apka big big fan hu mujy apse call pe bt karni hai ek bar sir mera contact num 03356507139 Skype I.d abdul.rehman6731 plzzzz contact meabdul.rehman.sahabto	1	1
